C,0.650273,0.101362,2.000000,2.000000,0.298553,1.246210,2.000000
C,0.406593,0.094273,1.000000,4.000000,0.000000,1.798182,4.000000
C,0.330435,0.092623,1.000000,2.000000,0.000000,2.115805,7.000000
C,0.330396,0.092825,7.000000,3.000000,0.165315,1.180938,3.000000
C,0.606299,0.114079,2.000000,2.000000,0.000000,2.051250,4.000000
C,0.430769,0.116397,2.000000,3.000000,0.102151,1.178097,2.000000
C,0.575342,0.094604,1.000000,4.000000,0.000000,1.819679,6.000000
C,0.532710,0.100497,2.000000,2.000000,0.303416,1.268752,2.000000
C,0.448276,0.109327,1.000000,2.000000,0.000000,1.983470,1.000000
C,0.498069,0.082853,2.000000,4.000000,0.629186,1.023457,2.000000
C,0.258278,0.092432,2.000000,4.000000,0.129172,1.204218,2.000000
C,0.446154,0.111997,2.000000,4.000000,0.116379,1.217254,2.000000
C,0.575342,0.093388,1.000000,4.000000,0.000000,1.843778,6.000000
C,0.662162,0.112976,2.000000,4.000000,0.044376,1.168495,2.000000
C,0.495146,0.115262,2.000000,2.000000,0.122184,1.174115,2.000000
C,0.576159,0.096085,3.000000,4.000000,0.442042,1.065712,4.000000
C,0.449275,0.105826,3.000000,4.000000,0.142562,1.232283,2.000000
C,0.512821,0.103803,2.000000,2.000000,0.289660,1.275203,2.000000
C,0.552000,0.093328,2.000000,2.000000,0.360870,1.283548,4.000000
C,0.357955,0.087124,2.000000,4.000000,0.001153,1.906830,4.000000
C,0.294798,0.080187,5.000000,3.000000,0.540225,1.057889,4.000000
C,0.450549,0.119024,1.000000,2.000000,0.000000,1.968682,4.000000
C,0.462963,0.092168,1.000000,4.000000,0.000000,2.165746,4.000000
C,0.460606,0.117170,1.000000,2.000000,0.000000,1.982987,4.000000
C,0.463636,0.095080,1.000000,4.000000,0.000000,2.029763,4.000000
C,0.449438,0.106995,1.000000,2.000000,0.000000,2.221644,4.000000
C,0.492754,0.106696,2.000000,2.000000,0.223796,1.230938,2.000000
C,0.362069,0.093266,2.000000,2.000000,0.310908,1.281179,2.000000
C,0.538462,0.093664,3.000000,4.000000,0.430543,1.091278,4.000000
C,0.410853,0.089512,1.000000,2.000000,0.000000,2.007565,4.000000
C,0.442857,0.111615,2.000000,4.000000,0.124632,1.200189,2.000000
C,0.416667,0.108918,2.000000,3.000000,0.144183,1.192603,2.000000
C,0.617188,0.114958,2.000000,2.000000,0.000000,2.019908,4.000000
C,0.394737,0.098827,1.000000,2.000000,0.000000,2.108934,4.000000
C,0.439394,0.119326,2.000000,2.000000,0.100193,1.181991,2.000000
C,0.186207,0.139823,1.000000,2.000000,0.000000,1.061642,0.000000
C,0.465753,0.111103,2.000000,4.000000,0.137489,1.212146,2.000000
C,0.396947,0.098279,2.000000,2.000000,0.302740,1.277697,2.000000
C,0.387013,0.111631,3.000000,2.000000,0.159665,1.165241,2.000000
C,0.455752,0.080200,7.000000,4.000000,0.559996,1.079963,4.000000
C,0.465753,0.112805,2.000000,4.000000,0.135204,1.212439,2.000000
C,0.529412,0.098749,2.000000,4.000000,0.722654,1.009025,0.000000
C,0.448718,0.107487,1.000000,2.000000,0.000000,1.939852,4.000000
C,0.607843,0.088731,2.000000,4.000000,0.707010,1.013191,0.000000
C,0.421569,0.095769,2.000000,2.000000,0.361916,1.258678,2.000000
C,0.390805,0.093163,1.000000,2.000000,0.000000,2.035310,6.000000
C,0.363636,0.094997,2.000000,4.000000,0.000000,1.565931,4.000000
C,0.362069,0.094094,2.000000,2.000000,0.306282,1.280194,2.000000
C,0.502825,0.093841,2.000000,4.000000,0.721716,1.012588,0.000000
C,0.601399,0.096805,2.000000,2.000000,0.319642,1.275516,2.000000
C,0.450382,0.087144,3.000000,4.000000,0.745087,1.026654,0.000000
C,0.611111,0.110940,1.000000,2.000000,0.000000,1.732606,6.000000
C,0.396947,0.096023,2.000000,2.000000,0.322196,1.290210,2.000000
C,0.386207,0.125956,2.000000,4.000000,0.045977,1.146781,2.000000
C,0.544554,0.101029,2.000000,4.000000,0.694051,1.015883,0.000000
C,0.406250,0.102899,2.000000,2.000000,0.002451,2.132602,7.000000
C,0.375000,0.101171,2.000000,2.000000,0.151795,1.179975,2.000000
C,0.439759,0.098590,2.000000,2.000000,0.312523,1.263031,2.000000
C,0.543307,0.097703,1.000000,2.000000,0.000000,2.144726,6.000000
C,0.456897,0.111412,2.000000,4.000000,0.134636,1.159293,2.000000
C,0.597484,0.098774,3.000000,4.000000,0.475385,1.038730,2.000000
C,0.457364,0.089191,2.000000,4.000000,0.760785,1.022087,0.000000
